,date,location,meal,open_at,close_at
0,2024-01-10,LEO MKT | Flatbreads,"<selenium.webdriver.remote.webelement.WebElement (session=""f5a637d6ed5b45013a9bfaa7cd6e5a42"", element=""f.CA7C297FC015325A77BC6E85CF1713AF.d.28AAD3DCCF4A18ED0759C8285A90AE51.e.501"")>",11:00 am,8:00 pm
1,2024-01-10,The Table at Leo's,"<selenium.webdriver.remote.webelement.WebElement (session=""f5a637d6ed5b45013a9bfaa7cd6e5a42"", element=""f.CA7C297FC015325A77BC6E85CF1713AF.d.28AAD3DCCF4A18ED0759C8285A90AE51.e.520"")>",7:00 am,10:30 am
2,2024-01-10,The Table at Leo's,"<selenium.webdriver.remote.webelement.WebElement (session=""f5a637d6ed5b45013a9bfaa7cd6e5a42"", element=""f.CA7C297FC015325A77BC6E85CF1713AF.d.28AAD3DCCF4A18ED0759C8285A90AE51.e.521"")>",10:30 am,11:00 am
3,2024-01-10,The Table at Leo's,"<selenium.webdriver.remote.webelement.WebElement (session=""f5a637d6ed5b45013a9bfaa7cd6e5a42"", element=""f.CA7C297FC015325A77BC6E85CF1713AF.d.28AAD3DCCF4A18ED0759C8285A90AE51.e.522"")>",11:00 am,2:30 pm
4,2024-01-10,The Table at Leo's,"<selenium.webdriver.remote.webelement.WebElement (session=""f5a637d6ed5b45013a9bfaa7cd6e5a42"", element=""f.CA7C297FC015325A77BC6E85CF1713AF.d.28AAD3DCCF4A18ED0759C8285A90AE51.e.523"")>",2:30 pm,3:30 pm
5,2024-01-10,The Table at Leo's,"<selenium.webdriver.remote.webelement.WebElement (session=""f5a637d6ed5b45013a9bfaa7cd6e5a42"", element=""f.CA7C297FC015325A77BC6E85CF1713AF.d.28AAD3DCCF4A18ED0759C8285A90AE51.e.524"")>",3:30 pm,4:00 pm
6,2024-01-10,The Table at Leo's,"<selenium.webdriver.remote.webelement.WebElement (session=""f5a637d6ed5b45013a9bfaa7cd6e5a42"", element=""f.CA7C297FC015325A77BC6E85CF1713AF.d.28AAD3DCCF4A18ED0759C8285A90AE51.e.525"")>",4:00 pm,8:00 pm
7,2024-01-10,LEO MKT | Olive Branch,"<selenium.webdriver.remote.webelement.WebElement (session=""f5a637d6ed5b45013a9bfaa7cd6e5a42"", element=""f.CA7C297FC015325A77BC6E85CF1713AF.d.28AAD3DCCF4A18ED0759C8285A90AE51.e.545"")>",11:00 am,10:00 pm
8,2024-01-10,LEO MKT | Whisk,"<selenium.webdriver.remote.webelement.WebElement (session=""f5a637d6ed5b45013a9bfaa7cd6e5a42"", element=""f.CA7C297FC015325A77BC6E85CF1713AF.d.28AAD3DCCF4A18ED0759C8285A90AE51.e.550"")>",7:30 am,6:00 pm
9,2024-01-10,Hoya Court | Chick-fil-A,"<selenium.webdriver.remote.webelement.WebElement (session=""f5a637d6ed5b45013a9bfaa7cd6e5a42"", element=""f.CA7C297FC015325A77BC6E85CF1713AF.d.28AAD3DCCF4A18ED0759C8285A90AE51.e.555"")>",10:00 am,8:00 pm
10,2024-01-10,Crop Chop,"<selenium.webdriver.remote.webelement.WebElement (session=""f5a637d6ed5b45013a9bfaa7cd6e5a42"", element=""f.CA7C297FC015325A77BC6E85CF1713AF.d.28AAD3DCCF4A18ED0759C8285A90AE51.e.560"")>",10:00 am,8:00 pm
11,2024-01-10,Royal Jacket Deli,"<selenium.webdriver.remote.webelement.WebElement (session=""f5a637d6ed5b45013a9bfaa7cd6e5a42"", element=""f.CA7C297FC015325A77BC6E85CF1713AF.d.28AAD3DCCF4A18ED0759C8285A90AE51.e.565"")>",9:00 am,11:00 am
12,2024-01-10,Royal Jacket Deli,"<selenium.webdriver.remote.webelement.WebElement (session=""f5a637d6ed5b45013a9bfaa7cd6e5a42"", element=""f.CA7C297FC015325A77BC6E85CF1713AF.d.28AAD3DCCF4A18ED0759C8285A90AE51.e.566"")>",11:00 am,4:00 pm
13,2024-01-10,Starbucks,"<selenium.webdriver.remote.webelement.WebElement (session=""f5a637d6ed5b45013a9bfaa7cd6e5a42"", element=""f.CA7C297FC015325A77BC6E85CF1713AF.d.28AAD3DCCF4A18ED0759C8285A90AE51.e.574"")>",6:30 am,7:00 pm
